movieID,title,genres,imdbId,avgRating,numVotes
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,tt0114709,8.3,823235
2,Jumanji (1995),Adventure|Children|Fantasy,tt0113497,7,278580
3,Grumpier Old Men (1995),Comedy|Romance,tt0113228,6.7,22802
4,Waiting to Exhale (1995),Comedy|Drama|Romance,tt0114885,5.9,8925
5,Father of the Bride Part II (1995),Comedy,tt0113041,6,32051
6,Heat (1995),Action|Crime|Thriller,tt0113277,8.2,536005
7,Sabrina (1995),Comedy|Romance,tt0114319,6.3,34554
8,Tom and Huck (1995),Adventure|Children,tt0112302,5.5,9276
9,Sudden Death (1995),Action,tt0114576,5.8,30472
10,GoldenEye (1995),Action|Adventure|Thriller,tt0113189,7.2,226382
11,"American President, The (1995)",Comedy|Drama|Romance,tt0112346,6.8,49068
12,Dracula: Dead and Loving It (1995),Comedy|Horror,tt0112896,5.9,36637
13,Balto (1995),Adventure|Animation|Children,tt0112453,7.1,37339
14,Nixon (1995),Drama,tt0113987,7.1,27393
15,Cutthroat Island (1995),Action|Adventure|Romance,tt0112760,5.7,24673
16,Casino (1995),Crime|Drama,tt0112641,8.2,425592
17,Sense and Sensibility (1995),Drama|Romance,tt0114388,7.6,94467
18,Four Rooms (1995),Comedy,tt0113101,6.8,92824
19,Ace Ventura: When Nature Calls (1995),Comedy,tt0112281,6.4,191659
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,tt0113845,5.7,37083
21,Get Shorty (1995),Comedy|Crime|Thriller,tt0113161,6.9,72249
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,tt0112722,6.6,50958
23,Assassins (1995),Action|Crime|Thriller,tt0112401,6.3,73869
24,Powder (1995),Drama|Sci-Fi,tt0114168,6.6,27434
25,Leaving Las Vegas (1995),Drama|Romance,tt0113627,7.5,108580
26,Othello (1995),Drama,tt0114057,6.9,8672
27,Now and Then (1995),Children|Drama,tt0114011,6.8,25603
28,Persuasion (1995),Drama|Romance,tt0114117,7.6,9572
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,tt0112682,7.6,62253
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,tt0115012,7.1,4881
31,Dangerous Minds (1995),Drama,tt0112792,6.5,45574
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,tt0114746,8,548092
33,Wings of Courage (1995),Adventure|Romance|IMAX,tt0114952,6.4,588
34,Babe (1995),Children|Drama,tt0112431,6.7,110951
35,Carrington (1995),Drama|Romance,tt0112637,6.8,4886
36,Dead Man Walking (1995),Crime|Drama,tt0112818,7.5,84125
37,Across the Sea of Time (1995),Documentary|IMAX,tt0112286,6.2,231
38,It Takes Two (1995),Children|Comedy,tt0113442,5.9,18888
39,Clueless (1995),Comedy|Romance,tt0112697,6.8,161936
40,"Cry, the Beloved Country (1995)",Drama,tt0112749,6.8,1626
41,Richard III (1995),Drama|War,tt0114279,7.4,13061
42,Dead Presidents (1995),Action|Crime|Drama,tt0112819,6.9,18381
43,Restoration (1995),Drama,tt0114272,6.6,8540
44,Mortal Kombat (1995),Action|Adventure|Fantasy,tt0113855,5.8,95555
45,To Die For (1995),Comedy|Drama|Thriller,tt0114681,6.8,41047
46,How to Make an American Quilt (1995),Drama|Romance,tt0113347,6.3,10164
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,tt0114369,8.6,1327844
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,tt0114148,6.7,157164
49,When Night Is Falling (1995),Drama|Romance,tt0114916,6.5,6270
